PARROQUIA,ZONA,MES,DIA_SEMANA,HORA_NUM,ACCIDENTES,PROM_LESIONADOS,PROM_FALLECIDOS,PROM_TOTAL_VICTIMAS,CAUSA_MAS_FRECUENTE,TIPO_SINIESTRO_MAS_FRECUENTE,TIPO_VEHICULO_MAS_FRECUENTE,LATITUD_PROM,LONGITUD_PROM,RIESGO_PORC,NIVEL_RIESGO
CUENCA,RURAL,4,6,19,1,1.0,0.0,1.0,NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.,ATROPELLOS,NO IDENTIFICADO,-2.894717,-79.038273,20.0,BAJO
CUENCA,RURAL,5,3,4,1,0.0,0.0,0.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,NO IDENTIFICADO,-2.872172,-78.974903,20.0,BAJO
CUENCA,RURAL,6,0,15,1,1.0,0.0,1.0,NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.,ATROPELLOS,CAMIONETA,-2.878441,-78.955382,20.0,BAJO
CUENCA,RURAL,6,4,20,1,4.0,0.0,4.0,CONDUCIR VEHÍCULO SUPERANDO LOS LÍMITES MÁXIMOS DE VELOCIDAD.,CHOQUE POSTERIOR,AUTOMÓVIL,-2.848667,-78.896277,20.0,BAJO
CUENCA,RURAL,6,5,11,1,1.0,0.0,1.0,NO TRANSITAR POR LAS ACERAS O ZONAS DE SEGURIDAD DESTINADAS PARA EL EFECTO.,ATROPELLOS,NO IDENTIFICADO,-2.873447,-78.947132,20.0,BAJO
CUENCA,RURAL,7,3,21,1,0.0,0.0,0.0,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHÍCULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,CAMIÓN,-2.879035,-78.943833,20.0,BAJO
CUENCA,RURAL,7,6,2,1,5.0,0.0,5.0,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTRÓPICAS Y/O MEDICAMENTOS.",CHOQUE POSTERIOR,AUTOMÓVIL,-2.871465,-78.937796,20.0,BAJO
CUENCA,RURAL,7,6,10,1,2.0,0.0,2.0,NO GUARDAR LA DISTANCIA LATERAL MÍNIMA DE SEGURIDAD ENTRE VEHÍCULOS.,ROZAMIENTOS,MOTOCICLETA,-2.885631,-78.948591,20.0,BAJO
CUENCA,RURAL,9,0,6,1,1.0,0.0,1.0,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRÁNSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,CAMIÓN,-2.857985,-78.925073,20.0,BAJO
CUENCA,RURAL,9,1,8,1,1.0,0.0,1.0,"NO RESPETAR LAS SEÑALES REGLAMENTARIAS DE TRÁNSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,MOTOCICLETA,-2.883116,-79.069992,20.0,BAJO
